720817.00000000000	4025390.00000000000
720851.00000000000	4024510.00000000000
721025.00000000000	4023710.00000000000
721083.00000000000	4025340.00000000000
721128.00000000000	4023230.00000000000
721193.00000000000	4022950.00000000000
721193.00000000000	4024790.00000000000
721251.00000000000	4026740.00000000000
721271.00000000000	4025720.00000000000
721545.00000000000	4023300.00000000000
721579.00000000000	4024250.00000000000
721609.00000000000	4021410.00000000000
721619.00000000000	4023470.00000000000
721711.00000000000	4022140.00000000000
721720.00000000000	4026230.00000000000
721759.00000000000	4022700.00000000000
721768.00000000000	4023890.00000000000
721833.00000000000	4024950.00000000000
721843.00000000000	4022090.00000000000
721861.00000000000	4024150.00000000000
721863.00000000000	4023390.00000000000
721890.00000000000	4027050.00000000000
721891.00000000000	4025880.00000000000
721931.00000000000	4022560.00000000000
722069.00000000000	4023320.00000000000
722102.00000000000	4026940.00000000000
722114.00000000000	4024850.00000000000
722140.00000000000	4026550.00000000000
722271.00000000000	4025270.00000000000
722292.00000000000	4023670.00000000000
722354.00000000000	4023210.00000000000
722357.00000000000	4021330.00000000000
722389.00000000000	4026230.00000000000
722393.00000000000	4023960.00000000000
722393.00000000000	4025530.00000000000
722399.00000000000	4026090.00000000000
722407.00000000000	4025960.00000000000
722432.00000000000	4026740.00000000000
722445.00000000000	4023470.00000000000
722447.00000000000	4021860.00000000000
722633.00000000000	4023870.00000000000
722692.00000000000	4026930.00000000000
722748.00000000000	4021430.00000000000
722757.00000000000	4022460.00000000000
722759.00000000000	4025280.00000000000
722845.00000000000	4021750.00000000000
722857.00000000000	4024470.00000000000
722874.00000000000	4022800.00000000000
722876.00000000000	4024560.00000000000
722886.00000000000	4027820.00000000000
722906.00000000000	4026450.00000000000
722936.00000000000	4023240.00000000000
722951.00000000000	4024750.00000000000
723050.00000000000	4022410.00000000000
723056.00000000000	4021730.00000000000
723083.00000000000	4021960.00000000000
723102.00000000000	4023710.00000000000
723129.00000000000	4025280.00000000000
723183.00000000000	4021290.00000000000
723198.00000000000	4023960.00000000000
723218.00000000000	4021720.00000000000
723237.00000000000	4026340.00000000000
723249.00000000000	4026240.00000000000
723258.00000000000	4026140.00000000000
723260.00000000000	4026000.00000000000
723268.00000000000	4025880.00000000000
723294.00000000000	4025290.00000000000
