34	20	33	19	18	28	30	31	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	20	33	19	18	28	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	20	33	19	18	17	16	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	20	33	19	18	17	16	15	14	13	21	22	23	24	0	0	0	0	0	0	0	0	0
34	20	33	19	18	17	16	15	14	13	21	22	23	25	26	10	11	7	6	5	4	3	0
34	20	33	19	18	17	16	15	14	13	21	22	23	25	26	10	11	12	0	0	0	0	0
34	20	33	19	18	17	16	15	14	13	21	22	23	25	26	10	11	7	8	9	0	0	0
32	31	30	28	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	31	30	28	18	17	16	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	31	30	28	18	17	16	15	14	13	21	22	23	24	0	0	0	0	0	0	0	0	0
32	31	30	28	18	17	16	15	14	13	21	22	23	25	26	10	11	7	6	5	4	3	0
32	31	30	28	18	17	16	15	14	13	21	22	23	25	26	10	11	12	0	0	0	0	0
32	31	30	28	18	17	16	15	14	13	21	22	23	25	26	10	11	7	8	9	0	0	0
27	28	18	17	16	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	28	18	17	16	15	14	13	21	22	23	24	0	0	0	0	0	0	0	0	0	0	0
27	28	18	17	16	15	14	13	21	22	23	25	26	10	11	7	6	5	4	3	0	0	0
27	28	18	17	16	15	14	13	21	22	23	25	26	10	11	12	0	0	0	0	0	0	0
27	28	18	17	16	15	14	13	21	22	23	25	26	10	11	7	8	9	0	0	0	0	0
2	1	16	15	14	13	21	22	23	24	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	16	15	14	13	21	22	23	25	26	10	11	7	6	5	4	3	0	0	0	0	0
2	1	16	15	14	13	21	22	23	25	26	10	11	12	0	0	0	0	0	0	0	0	0
2	1	16	15	14	13	21	22	23	25	26	10	11	7	8	9	0	0	0	0	0	0	0
24	23	25	26	10	11	7	6	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0
24	23	25	26	10	11	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	23	25	26	10	11	7	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	4	5	6	7	11	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	4	5	6	7	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	11	7	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
